<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
97,Industry-Specific AI Applications,Agriculture,Livestock health monitoring,"Deploy an AI capability for livestock health monitoring in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, dbt, Rasa, Qdrant, Haystack","Snowflake, SAP, Twilio, Scale AI, Google Cloud"
98,Industry-Specific AI Applications,Agriculture,Commodity price intelligence,"Deploy an AI capability for commodity price intelligence in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Feast, spaCy, PyTorch, OpenTelemetry, OpenCV","Elastic, SAP, Databricks, Twilio, ServiceNow"
99,Industry-Specific AI Applications,Agriculture,Traceability & provenance analytics,"Deploy an AI capability for traceability & provenance analytics in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Ray, MLflow, Feast, Kafka, Kubeflow","Cohere, Google Cloud, Zendesk, Palantir, NVIDIA"
100,Industry-Specific AI Applications,Agriculture,Weather risk micro-forecasting,"Deploy an AI capability for weather risk micro-forecasting in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LangChain, Weaviate, TensorFlow, Ray, Kubeflow","Elastic, NVIDIA, AWS, Pinecone, Oracle"
101,Industry-Specific AI Applications,Media & Entertainment,Content recommendation,"Deploy an AI capability for content recommendation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kafka, Ray, Rasa, dbt, Hugging Face Transformers","Salesforce, Google Cloud, IBM watsonx, Twilio, OpenAI"
102,Industry-Specific AI Applications,Media & Entertainment,Ad targeting optimization,"Deploy an AI capability for ad targeting optimization in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, PyTorch, KServe, MLflow, scikit-learn","Twilio, Pinecone, Oracle, Snowflake, Cloudflare"
103,Industry-Specific AI Applications,Media & Entertainment,Content moderation,"Deploy an AI capability for content moderation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"LangChain, Milvus, Trino, Seldon, Weaviate","Salesforce, Zendesk, Palantir, SAP, ServiceNow"
104,Industry-Specific AI Applications,Media & Entertainment,Subtitle/translation automation,"Deploy an AI capability for subtitle/translation automation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, ONNX, Haystack, OpenTelemetry, MLflow","DataRobot, UiPath, Twilio, Google Cloud, Cloudflare"
105,Industry-Specific AI Applications,Media & Entertainment,Music/audio enhancement,"Deploy an AI capability for music/audio enhancement in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, Trino, Feast, OpenTelemetry, spaCy","AWS, SAP, Google Cloud, Palantir, UiPath"
106,Industry-Specific AI Applications,Media & Entertainment,Video highlight extraction,"Deploy an AI capability for video highlight extraction in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, spaCy, Prometheus, PyTorch, dbt","OpenAI, Oracle, Anthropic, Snowflake, Twilio"
107,Industry-Specific AI Applications,Media & Entertainment,Audience sentiment analytics,"Deploy an AI capability for audience sentiment analytics in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"KServe, OpenCV, OpenTelemetry, Kubeflow, Haystack","Databricks, SAP, Oracle, Scale AI, NVIDIA"
108,Industry-Specific AI Applications,Media & Entertainment,Rights management analytics,"Deploy an AI capability for rights management analytics in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Argo Workflows, TensorFlow, Milvus, Rasa, Grafana","OpenAI, NVIDIA, Pinecone, Anthropic, Zendesk"
109,Industry-Specific AI Applications,Media & Entertainment,Generative creative tooling,"Deploy an AI capability for generative creative tooling in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, TensorFlow, Trino, Qdrant, PyTorch","Elastic, DataRobot, Microsoft Azure, Salesforce, OpenAI"
110,Industry-Specific AI Applications,Media & Entertainment,Anti-piracy detection,"Deploy an AI capability for anti-piracy detection in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kubeflow, spaCy, Airflow, Kafka, LangChain","MongoDB Atlas, Cloudflare, DataRobot, Scale AI, Snowflake"
111,Industry-Specific AI Applications,Legal,Contract analysis,"Deploy an AI capability for contract analysis in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, Argo Workflows, LlamaIndex, OpenCV, Seldon","Zendesk, NVIDIA, Pinecone, UiPath, DataRobot"
112,Industry-Specific AI Applications,Legal,E-discovery classification,"Deploy an AI capability for e-discovery classification in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Milvus, Argo Workflows, OpenCV, Seldon, ONNX","Salesforce, Confluent, UiPath, Zendesk, Google Cloud"
113,Industry-Specific AI Applications,Legal,Legal research assistant,"Deploy an AI capability for legal research assistant in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Great Expectations, LangChain, OpenCV, TensorFlow, Airflow","Anthropic, SAP, Scale AI, Zendesk, IBM watsonx"
114,Industry-Specific AI Applications,Legal,Compliance monitoring,"Deploy an AI capability for compliance monitoring in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenTelemetry, Seldon, LangChain, Argo Workflows, PyTorch","DataRobot, ServiceNow, Palantir, Snowflake, Cloudflare"
115,Industry-Specific AI Applications,Legal,Matter forecasting analytics,"Deploy an AI capability for matter forecasting analytics in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Great Expectations, Kubeflow, FAISS, Trino","Salesforce, Anthropic, IBM watsonx, Scale AI, Pinecone"
116,Industry-Specific AI Applications,Legal,Clause library governance,"Deploy an AI capability for clause library governance in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, Ray, TensorFlow, MLflow, Kafka","Zendesk, Cohere, AWS, Databricks, Anthropic"
117,Industry-Specific AI Applications,Legal,Redlining assistance,"Deploy an AI capability for redlining assistance in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, spaCy, LlamaIndex, PostgreSQL, Prometheus","Scale AI, OpenAI, DataRobot, Cloudflare, Palantir"
118,Industry-Specific AI Applications,Legal,Litigation document summarization,"Deploy an AI capability for litigation document summarization in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"ONNX, Grafana, Kafka, Ray, Great Expectations","Scale AI, NVIDIA, AWS, Databricks, Oracle"
119,Industry-Specific AI Applications,Legal,Privacy impact assessments,"Deploy an AI capability for privacy impact assessments in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, OpenTelemetry, Hugging Face Transformers, dbt, Feast","Palantir, Databricks, Microsoft Azure, UiPath, Oracle"
120,Industry-Specific AI Applications,Legal,Policy drafting support,"Deploy an AI capability for policy drafting support in legal workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, ONNX, Feast, Rasa, Haystack","NVIDIA, SAP, Google Cloud, UiPath, Palantir"
121,Industry-Specific AI Applications,Real Estate,Property valuation models,"Deploy an AI capability for property valuation models in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"spaCy, Hugging Face Transformers, OpenTelemetry, MLflow, scikit-learn","Confluent, SAP, Palantir, Twilio, OpenAI"
122,Industry-Specific AI Applications,Real Estate,Tenant screening analytics,"Deploy an AI capability for tenant screening analytics in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PyTorch, Great Expectations, OpenCV, Prometheus, Milvus","Snowflake, NVIDIA, Elastic, OpenAI, Palantir"
123,Industry-Specific AI Applications,Real Estate,Lease abstraction,"Deploy an AI capability for lease abstraction in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, dbt, Grafana, Airflow, Argo Workflows","MongoDB Atlas, Anthropic, NVIDIA, Pinecone, SAP"
124,Industry-Specific AI Applications,Real Estate,Facility maintenance prediction,"Deploy an AI capability for facility maintenance prediction in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Haystack, Trino, OpenCV, Ray","Confluent, Google Cloud, IBM watsonx, Databricks, SAP"
125,Industry-Specific AI Applications,Real Estate,Energy efficiency analytics,"Deploy an AI capability for energy efficiency analytics in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Haystack, Rasa, ONNX, LlamaIndex, Kafka","DataRobot, Twilio, Pinecone, Salesforce, Palantir"
126,Industry-Specific AI Applications,Real Estate,Market demand forecasting,"Deploy an AI capability for market demand forecasting in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, scikit-learn, MLflow, PostgreSQL, OpenTelemetry","Pinecone, Cloudflare, Cohere, Databricks, SAP"
127,Industry-Specific AI Applications,Real Estate,Fraud detection in listings,"Deploy an AI capability for fraud detection in listings in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Feast, Qdrant, Kafka, Prometheus, Hugging Face Transformers","OpenAI, Snowflake, Microsoft Azure, Cohere, Oracle"
128,Industry-Specific AI Applications,Real Estate,Virtual tour enhancement,"Deploy an AI capability for virtual tour enhancement in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Trino, Hugging Face Transformers, Haystack, Seldon, Feast","Oracle, Scale AI, Anthropic, Pinecone, Databricks"
129,Industry-Specific AI Applications,Real Estate,Customer inquiry automation,"Deploy an AI capability for customer inquiry automation in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Feast, Prometheus, OpenCV, Milvus, Haystack","Oracle, MongoDB Atlas, AWS, Twilio, SAP"
130,Industry-Specific AI Applications,Real Estate,Portfolio risk analytics,"Deploy an AI capability for portfolio risk analytics in real estate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, LangChain, OpenTelemetry, PostgreSQL, Weaviate","AWS, IBM watsonx, Salesforce, Databricks, NVIDIA"
131,Industry-Specific AI Applications,Travel & Hospitality,Personalized itinerary planning,"Deploy an AI capability for personalized itinerary planning in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"scikit-learn, Ray, OpenCV, Airflow, Weaviate","Salesforce, NVIDIA, OpenAI, MongoDB Atlas, Cloudflare"
132,Industry-Specific AI Applications,Travel & Hospitality,Dynamic pricing & revenue mgmt,"Deploy an AI capability for dynamic pricing & revenue mgmt in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LlamaIndex, Trino, Ray, Argo Workflows, Rasa","UiPath, Snowflake, ServiceNow, MongoDB Atlas, Scale AI"
133,Industry-Specific AI Applications,Travel & Hospitality,Fraud detection for bookings,"Deploy an AI capability for fraud detection for bookings in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kafka, Prometheus, Airflow, Seldon, Weaviate","Cloudflare, Databricks, Elastic, AWS, Pinecone"
134,Industry-Specific AI Applications,Travel & Hospitality,Customer support automation,"Deploy an AI capability for customer support automation in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Trino, Hugging Face Transformers, MLflow, LangChain, Milvus","Elastic, Oracle, Cloudflare, Salesforce, Google Cloud"
135,Industry-Specific AI Applications,Travel & Hospitality,Demand forecasting,"Deploy an AI capability for demand forecasting in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"LlamaIndex, Qdrant, Argo Workflows, scikit-learn, Grafana","Anthropic, Snowflake, Elastic, UiPath, Google Cloud"
136,Industry-Specific AI Applications,Travel & Hospitality,Housekeeping optimization,"Deploy an AI capability for housekeeping optimization in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kubeflow, Seldon, Grafana, Argo Workflows, Feast","Salesforce, MongoDB Atlas, Anthropic, OpenAI, AWS"
137,Industry-Specific AI Applications,Travel & Hospitality,Review sentiment analytics,"Deploy an AI capability for review sentiment analytics in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"OpenTelemetry, Argo Workflows, spaCy, LangChain, Trino","Elastic, ServiceNow, Cohere, MongoDB Atlas, UiPath"
138,Industry-Specific AI Applications,Travel & Hospitality,Upsell/ancillary recommendations,"Deploy an AI capability for upsell/ancillary recommendations in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Qdrant, TensorFlow, OpenCV, Kubeflow, dbt","Confluent, Anthropic, NVIDIA, Zendesk, Twilio"
139,Industry-Specific AI Applications,Travel & Hospitality,Disruption management,"Deploy an AI capability for disruption management in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Kafka, KServe, dbt, Trino","AWS, Cohere, Databricks, Oracle, Palantir"
140,Industry-Specific AI Applications,Travel & Hospitality,Loyalty analytics,"Deploy an AI capability for loyalty analytics in travel & hospitality workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"MLflow, Weaviate, OpenCV, scikit-learn, Kafka","SAP, Cohere, Salesforce, Scale AI, Anthropic"
141,Industry-Specific AI Applications,Human Resources,Talent sourcing & matching,"Deploy an AI capability for talent sourcing & matching in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"LangChain, Kafka, Seldon, Haystack, TensorFlow","Pinecone, Microsoft Azure, Twilio, Confluent, Anthropic"
142,Industry-Specific AI Applications,Human Resources,Interview scheduling automation,"Deploy an AI capability for interview scheduling automation in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Milvus, PostgreSQL, scikit-learn, spaCy","Oracle, MongoDB Atlas, Cloudflare, Elastic, Zendesk"
143,Industry-Specific AI Applications,Human Resources,Performance insights,"Deploy an AI capability for performance insights in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Trino, Rasa, Milvus, Argo Workflows, Qdrant","Cloudflare, Oracle, OpenAI, Elastic, Scale AI"
144,Industry-Specific AI Applications,Human Resources,Learning & development recommendations,"Deploy an AI capability for learning & development recommendations in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, FAISS, Argo Workflows, PyTorch, Haystack","Microsoft Azure, NVIDIA, Twilio, MongoDB Atlas, Oracle"
145,Industry-Specific AI Applications,Human Resources,Employee engagement analytics,"Deploy an AI capability for employee engagement analytics in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Haystack, Trino, dbt, Rasa","Elastic, Google Cloud, Snowflake, OpenAI, Palantir"
146,Industry-Specific AI Applications,Human Resources,Attrition prediction,"Deploy an AI capability for attrition prediction in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, Great Expectations, OpenCV, TensorFlow, Milvus","Cloudflare, OpenAI, Scale AI, Snowflake, UiPath"
147,Industry-Specific AI Applications,Human Resources,HR service desk automation,"Deploy an AI capability for hr service desk automation in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"OpenTelemetry, OpenCV, ONNX, LangChain, Argo Workflows","Google Cloud, Twilio, Confluent, ServiceNow, UiPath"
148,Industry-Specific AI Applications,Human Resources,Compensation benchmarking,"Deploy an AI capability for compensation benchmarking in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kafka, dbt, Kubeflow, LangChain, KServe","Twilio, Oracle, Elastic, OpenAI, Google Cloud"
149,Industry-Specific AI Applications,Human Resources,Policy Q&A and drafting,"Deploy an AI capability for policy q&a and drafting in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, dbt, MLflow, scikit-learn, Argo Workflows","UiPath, Elastic, Palantir, AWS, NVIDIA"
150,Industry-Specific AI Applications,Human Resources,Workforce planning,"Deploy an AI capability for workforce planning in human resources workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Rasa, PyTorch, Haystack, Kubeflow","Google Cloud, Palantir, Scale AI, SAP, Anthropic"
151,Industry-Specific AI Applications,Cybersecurity,Threat detection analytics,"Deploy an AI capability for threat detection analytics in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"spaCy, Prometheus, Kafka, LangChain, TensorFlow","NVIDIA, AWS, Palantir, Salesforce, DataRobot"
152,Industry-Specific AI Applications,Cybersecurity,Phishing detection & response,"Deploy an AI capability for phishing detection & response in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, Trino, Milvus, Argo Workflows, Airflow","Databricks, NVIDIA, Cloudflare, Microsoft Azure, Salesforce"
153,Industry-Specific AI Applications,Cybersecurity,SOC copilot (case triage),"Deploy an AI capability for soc copilot (case triage) in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Argo Workflows, Milvus, PyTorch, Kubeflow, KServe","Cloudflare, UiPath, Databricks, Pinecone, Snowflake"
154,Industry-Specific AI Applications,Cybersecurity,Vulnerability prioritization,"Deploy an AI capability for vulnerability prioritization in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"ONNX, Argo Workflows, TensorFlow, KServe, scikit-learn","NVIDIA, Twilio, Salesforce, IBM watsonx, Oracle"
155,Industry-Specific AI Applications,Cybersecurity,Identity anomaly detection,"Deploy an AI capability for identity anomaly detection in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Haystack, Prometheus, ONNX, Trino, Qdrant","Oracle, Google Cloud, Cohere, Snowflake, NVIDIA"
156,Industry-Specific AI Applications,Cybersecurity,Malware classification,"Deploy an AI capability for malware classification in cybersecurity workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Prometheus, Airflow, LlamaIndex, Kubeflow, Grafana","Snowflake, Scale AI, Confluent, NVIDIA, IBM watsonx"
